Algorithm,Execution Path Length / m Mean,Execution Path Length / m Std,Estimated Execution Time / s Mean,Estimated Execution Time / s Std,Minimum Obstacle Clearance / m Mean,Minimum Obstacle Clearance / m Std,Minimum Safety Clearance / m Mean,Minimum Safety Clearance / m Std,Turn Violation Ratio / % Mean,Turn Violation Ratio / % Std
F-LCA,1433.8420218283943,46.36642938229498,2752.302527285493,57.95803672786868,0.9644795609662544,0.120179266664155,-0.5355204390337456,0.120179266664155,12.665666507999347,2.1796901193911564
SISR-VRP,1554.0410952332709,94.7772244757792,2902.5513690415887,118.4715305947241,0.9827925396945204,0.0776355390677793,-0.5172074603054795,0.0776355390677793,11.221738172135552,2.1450306366807137
ACO,1877.2046172465064,148.59712097656828,3306.505771558133,185.74640122071028,0.8541486348080486,0.5559171151206941,-0.6458513651919515,0.5559171151206941,10.482686462543288,1.5615721812932004
