seed,algorithm,primary_cost,total_cost,total_distance,effective_coverage,theoretical_coverage,obstacle_penalty,energy_range_percent,incomplete_tree_ratio,runtime_sec,task_ratio_v1,task_ratio_v2,task_ratio_v3,task_ratio_v4
42,SISR-VRP,1505.7255571046626,1686.047227843848,1397.4692581526308,100.0,100.0,569.7699944843773,2.73956901678559,0.0,24.091519594192505,32.5,30.0,20.0,17.5
43,SISR-VRP,1491.4725367780072,1620.3624328455999,1451.6222398400707,100.0,100.0,209.73840493650815,1.8959283674770142,0.0,21.289109230041504,31.25,23.75,27.5,17.5
44,SISR-VRP,1613.9499625993822,2492.5924730873667,1553.5851893652016,100.0,100.0,317.70933281147643,10.33301657294699,0.0,21.157426595687866,30.0,21.25,28.75,20.0
45,SISR-VRP,1418.1446640195043,1537.4277958787786,1335.708779685609,100.0,100.0,433.8730754415535,1.5725613386969983,0.0,26.768320560455322,32.5,25.0,25.0,17.5
46,SISR-VRP,1578.8078035169162,3204.456061334978,1534.2555975491935,100.0,100.0,234.48529456696212,18.270742133961836,0.0,19.52257204055786,30.0,18.75,30.0,21.25
47,SISR-VRP,1595.9590387789242,1728.437721866643,1510.9440132537877,100.0,100.0,447.44750276387595,1.7888698416714401,0.0,25.393466472625732,30.0,23.75,27.5,18.75
48,SISR-VRP,1447.4132137359863,1572.9560487134625,1425.4313084179596,100.0,100.0,115.69423851593041,1.8438999382395467,0.0,24.612526416778564,31.25,23.75,26.25,18.75
49,SISR-VRP,1636.678945701,1775.9062193396494,1584.2721793685075,100.0,100.0,275.82508596048694,1.7293405654988745,0.0,23.036041259765625,32.5,25.0,20.0,22.5
50,SISR-VRP,1474.5894634390695,1600.8509373690908,1433.5248640459877,100.0,100.0,216.129470489904,1.8885513808927459,0.0,26.313958406448364,31.25,22.5,27.5,18.75
51,SISR-VRP,1691.6669246917459,2336.5841739623866,1647.5577318268038,100.0,100.0,232.1536466575904,7.148164213252891,0.0,21.65492868423462,30.0,20.0,30.0,20.0
52,SISR-VRP,1519.377991063307,1649.8581769338484,1483.5406294103263,100.0,100.0,188.61769291042484,1.6974798665638728,0.0,26.019736289978027,31.25,25.0,23.75,20.0
53,SISR-VRP,1620.819323119878,2012.1615515384779,1606.6157532195518,100.0,100.0,74.7556310543483,4.601286841633785,0.0,19.419092655181885,30.0,20.0,27.5,22.5
54,SISR-VRP,1444.3940996265117,1569.3226482860089,1422.4934776711275,100.0,100.0,115.26643134412713,1.854999450874896,0.0,14.076019287109375,31.25,25.0,23.75,20.0
55,SISR-VRP,1605.6973188981576,1744.6048774580422,1568.5224490120743,100.0,100.0,195.65720992675455,1.6398372794807707,0.0,14.086301803588867,31.25,22.5,25.0,21.25
56,SISR-VRP,1656.572597736029,1795.1855194640473,1583.8240115634333,100.0,100.0,382.88729564523965,1.618597507245259,0.0,16.165520429611206,26.25,23.75,28.75,21.25
57,SISR-VRP,1493.3888321943195,1622.8734486620517,1470.2047772538817,100.0,100.0,122.02134179177749,1.827404428732389,0.0,22.429526567459106,27.5,27.5,25.0,20.0
58,SISR-VRP,1557.2137731965522,1690.4609664607276,1515.8594357402908,100.0,100.0,217.654407664534,1.8068170770320198,0.0,24.213618755340576,30.0,23.75,27.5,18.75
59,SISR-VRP,1556.2454067355814,1687.760755845559,1508.5723197614311,100.0,100.0,250.91098407447495,1.6818756572310738,0.0,14.461276054382324,31.25,22.5,26.25,20.0
60,SISR-VRP,1461.0064475985682,1585.4417825095907,1416.7861940848038,100.0,100.0,232.73817638823334,1.6984519041682429,0.0,14.159069538116455,30.0,25.0,25.0,20.0
61,SISR-VRP,1334.7262786497934,1448.8120748943265,1297.837765316205,100.0,100.0,194.15007017678116,2.0982432010370844,0.0,24.5976140499115,31.25,23.75,26.25,18.75
