algorithm,iter,best_primary_cost_mean,best_primary_cost_std,n
F-LCA,1,1513.889443164113,75.98410153618255,20
F-LCA,2,1505.7605337997898,83.15823615308662,20
F-LCA,3,1503.559444236267,82.56483170984478,20
F-LCA,4,1503.559444236267,82.56483170984478,20
F-LCA,5,1498.0712894676533,82.89474972856426,20
F-LCA,6,1498.0712894676533,82.89474972856426,20
F-LCA,7,1492.608870733619,85.48815628323378,20
F-LCA,8,1488.265622508885,81.51461732700965,20
F-LCA,9,1488.2410494087655,81.50957344273785,20
F-LCA,10,1488.2410494087655,81.50957344273785,20
F-LCA,11,1487.946027661062,81.10748990833503,20
F-LCA,12,1487.946027661062,81.10748990833503,20
F-LCA,13,1483.0167094360652,75.98900317341467,20
F-LCA,14,1483.0167094360652,75.98900317341467,20
F-LCA,15,1483.0167094360652,75.98900317341467,20
F-LCA,16,1483.0167094360652,75.98900317341467,20
F-LCA,17,1483.0167094360652,75.98900317341467,20
F-LCA,18,1483.0167094360652,75.98900317341467,20
F-LCA,19,1483.0167094360652,75.98900317341467,20
F-LCA,20,1482.6442267209134,76.1182711679711,20
F-LCA,21,1482.6442267209134,76.1182711679711,20
F-LCA,22,1482.6442267209134,76.1182711679711,20
F-LCA,23,1482.6442267209134,76.1182711679711,20
F-LCA,24,1482.6442267209134,76.1182711679711,20
F-LCA,25,1480.3076688944968,75.59410414735392,20
F-LCA,26,1480.3076688944968,75.59410414735392,20
F-LCA,27,1480.3076688944968,75.59410414735392,20
F-LCA,28,1480.3076688944968,75.59410414735392,20
F-LCA,29,1480.3076688944968,75.59410414735392,20
F-LCA,30,1480.3076688944968,75.59410414735392,20
F-LCA,31,1477.3609961048692,74.34824450187753,20
F-LCA,32,1477.3609961048692,74.34824450187753,20
F-LCA,33,1477.3609961048692,74.34824450187753,20
F-LCA,34,1477.3609961048692,74.34824450187753,20
F-LCA,35,1477.3609961048692,74.34824450187753,20
F-LCA,36,1477.3609961048692,74.34824450187753,20
F-LCA,37,1477.3609961048692,74.34824450187753,20
F-LCA,38,1474.811547450396,71.06934210941195,20
F-LCA,39,1472.0876416866845,64.91091460483636,20
F-LCA,40,1472.0876416866845,64.91091460483636,20
F-LCA,41,1472.0876416866845,64.91091460483636,20
F-LCA,42,1472.0876416866845,64.91091460483636,20
F-LCA,43,1472.0876416866845,64.91091460483636,20
F-LCA,44,1472.0876416866845,64.91091460483636,20
F-LCA,45,1472.0876416866845,64.91091460483636,20
F-LCA,46,1472.0876416866845,64.91091460483636,20
F-LCA,47,1472.0876416866845,64.91091460483636,20
F-LCA,48,1472.0876416866845,64.91091460483636,20
F-LCA,49,1472.0876416866845,64.91091460483636,20
F-LCA,50,1469.9146889640426,64.16872147893335,20
F-LCA,51,1469.9146889640426,64.16872147893335,20
F-LCA,52,1469.9146889640426,64.16872147893335,20
F-LCA,53,1469.9146889640426,64.16872147893335,20
F-LCA,54,1469.9146889640426,64.16872147893335,20
F-LCA,55,1469.9146889640426,64.16872147893335,20
F-LCA,56,1469.9146889640426,64.16872147893335,20
F-LCA,57,1469.9146889640426,64.16872147893335,20
F-LCA,58,1469.9146889640426,64.16872147893335,20
F-LCA,59,1469.9146889640426,64.16872147893335,20
F-LCA,60,1469.9146889640426,64.16872147893335,20
F-LCA,61,1469.9146889640426,64.16872147893335,20
F-LCA,62,1469.9146889640426,64.16872147893335,20
F-LCA,63,1469.9146889640426,64.16872147893335,20
F-LCA,64,1467.2978049221276,65.2145652590128,20
F-LCA,65,1467.2978049221276,65.2145652590128,20
F-LCA,66,1467.2978049221276,65.2145652590128,20
F-LCA,67,1467.2978049221276,65.2145652590128,20
F-LCA,68,1467.2978049221276,65.2145652590128,20
F-LCA,69,1467.2978049221276,65.2145652590128,20
F-LCA,70,1467.2978049221276,65.2145652590128,20
F-LCA,71,1467.2978049221276,65.2145652590128,20
F-LCA,72,1467.2978049221276,65.2145652590128,20
F-LCA,73,1467.2978049221276,65.2145652590128,20
F-LCA,74,1467.2978049221276,65.2145652590128,20
F-LCA,75,1467.2978049221276,65.2145652590128,20
F-LCA,76,1467.2978049221276,65.2145652590128,20
F-LCA,77,1467.2978049221276,65.2145652590128,20
F-LCA,78,1467.2978049221276,65.2145652590128,20
F-LCA,79,1467.2978049221276,65.2145652590128,20
F-LCA,80,1463.6938571835894,59.70529635363394,20
F-LCA,81,1463.6938571835894,59.70529635363394,20
F-LCA,82,1463.6938571835894,59.70529635363394,20
F-LCA,83,1463.6938571835894,59.70529635363394,20
F-LCA,84,1463.6938571835894,59.70529635363394,20
F-LCA,85,1463.6938571835894,59.70529635363394,20
F-LCA,86,1463.6938571835894,59.70529635363394,20
F-LCA,87,1463.6938571835894,59.70529635363394,20
F-LCA,88,1463.6938571835894,59.70529635363394,20
F-LCA,89,1463.6938571835894,59.70529635363394,20
F-LCA,90,1463.6938571835894,59.70529635363394,20
F-LCA,91,1463.6938571835894,59.70529635363394,20
F-LCA,92,1463.6938571835894,59.70529635363394,20
F-LCA,93,1463.6938571835894,59.70529635363394,20
F-LCA,94,1463.6938571835894,59.70529635363394,20
F-LCA,95,1463.6938571835894,59.70529635363394,20
F-LCA,96,1463.6938571835894,59.70529635363394,20
F-LCA,97,1463.6938571835894,59.70529635363394,20
F-LCA,98,1463.6938571835894,59.70529635363394,20
F-LCA,99,1462.2627446562497,61.18600660376438,20
F-LCA,100,1461.039508112571,61.06810401324391,20
F-LCA,101,1461.039508112571,61.06810401324391,20
F-LCA,102,1461.039508112571,61.06810401324391,20
F-LCA,103,1461.039508112571,61.06810401324391,20
