vehicle_id,internal_tree_id,tree_id,tree_no,Name,x_m,y_m
1,24,T039,39,ruiojiang 39,12.526958430651575,25.985339148901403
1,22,T037,37,ruiojiang 37,14.391119312029332,17.5701965498738
1,25,T040,40,ruiojiang 40,17.41782042873092,12.755137893371284
1,36,T051,51,ruiojiang 51,14.267534277634695,13.867391413543372
1,21,T036,36,ruiojiang 36,9.403655672213064,16.471286355983466
1,28,T043,43,ruiojiang 43,14.203571361256763,7.710475417785346
1,27,T042,42,ruiojiang 42,7.379970647976734,10.780445830430835
1,34,T049,49,ruiojiang 49,11.728932077530771,2.334202165249735
1,23,T038,38,ruiojiang 38,3.725898293079808,10.69499747781083
1,26,T041,41,ruiojiang 41,8.041659787646495,5.842451454140246
1,35,T050,50,ruiojiang 50,3.951163235702552,6.684518630616367
1,17,T032,32,ruiojiang 32,24.26183747057803,14.402351401280612
1,15,T030,30,ruiojiang 30,17.6758947907947,27.525176471099257
1,30,T045,45,ruiojiang 45,18.01997928216588,0.0
1,10,T025,25,ruiojiang 25,20.81249915214721,22.80418207589537
1,31,T046,46,ruiojiang 46,27.964056183816865,8.940912039019167
1,14,T029,29,ruiojiang 29,8.095941268489696,23.855377696454525
1,33,T048,48,ruiojiang 48,33.03349232370965,8.057815075386316
2,5,T020,20,ruiojiang 20,35.20596461882815,25.02167742280289
2,38,T053,53,ruiojiang 53,39.20632268674672,23.117387805134054
2,6,T021,21,ruiojiang 21,32.44905673363246,17.24067509593442
2,8,T023,23,ruiojiang 23,23.403003079933114,27.17411544080824
2,1,T015,15,ruiojiang 15,38.36744665517472,32.487315049394965
2,2,T016,16,ruiojiang 16,30.86460332176648,33.89554306631908
2,3,T017,17,ruiojiang 17,24.30128722940572,38.25821821345016
2,4,T018,18,ruiojiang 18,23.57678905152716,32.76585186878219
2,0,T014,14,ruiojiang 14,28.615519127459265,31.11044297832996
2,40,T055,55,ruiojiang 55,34.31413272069767,37.873263919726014
3,13,T028,28,ruiojiang 28,21.87840489286464,39.94770626025274
3,18,T033,33,ruiojiang 33,22.03007632633671,42.01130519201979
3,16,T031,31,ruiojiang 31,16.88111997046508,34.13637800049037
3,7,T022,22,ruiojiang 22,9.045258886530064,30.48899632738903
3,19,T034,34,ruiojiang 34,17.83185814297758,37.867654169444
3,9,T024,24,ruiojiang 24,9.683145977091044,38.4972526896745
3,11,T026,26,ruiojiang 26,3.910290299449116,38.50851608533412
3,20,T035,35,ruiojiang 35,0.0,43.42946541216224
3,37,T052,52,ruiojiang 52,2.5035512796603143,34.641770240385085
3,12,T027,27,ruiojiang 27,21.379993022535928,45.45124059449881
4,42,T057,57,ruiojiang 57,55.3233855626313,30.920952005311847
4,41,T056,56,ruiojiang 56,57.43109863786958,27.392415404785424
4,29,T044,44,ruiojiang 44,44.34100256115198,14.131682009901851
4,32,T047,47,ruiojiang 47,51.77366897137836,19.246419382747263
4,39,T054,54,ruiojiang 54,47.18112538382411,20.82598876999691
