tree_id,tree_no,Name,X,Y,x_m,y_m
T014,14,ruiojiang 14,113.663957822513,23.5584351577526,28.615519127459265,31.110442978329957
T015,15,ruiojiang 15,113.664053524897,23.5584459448681,38.36744665517472,32.487315049394965
T016,16,ruiojiang 16,113.663980343487,23.5584599103043,30.86460332176648,33.89554306631908
T017,17,ruiojiang 17,113.663916895921,23.5585003760248,24.301287229405716,38.258218213450164
T018,18,ruiojiang 18,113.663908804802,23.5584509399892,23.576789051527157,32.76585186878219
T020,20,ruiojiang 20,113.664021221378,23.5583791129596,35.20596461882815,25.021677422802895
T021,21,ruiojiang 21,113.663992820453,23.5583093676186,32.44905673363246,17.24067509593442
T022,22,ruiojiang 22,113.663766155905,23.5584328341981,9.045258886530064,30.48899632738903
T023,23,ruiojiang 23,113.663906085967,23.5584005149293,23.403003079933114,27.174115440808237
T024,24,ruiojiang 24,113.663773857147,23.5585049856486,9.683145977091044,38.4972526896745
T025,25,ruiojiang 25,113.663879934735,23.5583615197065,20.81249915214721,22.80418207589537
T026,26,ruiojiang 26,113.663717354513,23.5585060558847,3.910290299449116,38.50851608533412
T027,27,ruiojiang 27,113.663889611599,23.5585657688257,21.379993022535928,45.45124059449881
T028,28,ruiojiang 28,113.663893488288,23.5585160268211,21.878404892864637,39.947706260252744
T029,29,ruiojiang 29,113.663755656598,23.5583731383532,8.095941268489696,23.855377696454525
T030,30,ruiojiang 30,113.663850093008,23.5584046435265,17.6758947907947,27.525176471099257
T031,31,ruiojiang 31,113.663843517119,23.5584644297374,16.88111997046508,34.13637800049037
T032,32,ruiojiang 32,113.663912167486,23.5582851312322,24.26183747057803,14.402351401280612
T033,33,ruiojiang 33,113.663895348468,23.558534621218,22.03007632633671,42.01130519201979
T034,34,ruiojiang 34,113.663853502099,23.5584979375052,17.83185814297758,37.867654169443995
T035,35,ruiojiang 35,113.663679976258,23.5585511136847,0.0,43.429465412162244
T036,36,ruiojiang 36,113.663767112495,23.5583062922947,9.403655672213063,16.471286355983466
T037,37,ruiojiang 37,113.663816129708,23.5583153709227,14.391119312029332,17.5701965498738
T038,38,ruiojiang 38,113.663710487388,23.5582551254892,3.7258982930798084,10.69499747781083
T039,39,ruiojiang 39,113.663799415012,23.5583916135214,12.526958430651575,25.985339148901403
T040,40,ruiojiang 40,113.663844878578,23.5582714168088,17.41782042873092,12.755137893371284
T041,41,ruiojiang 41,113.66375184675,23.5582106168599,8.041659787646495,5.842451454140246
T042,42,ruiojiang 42,113.663746268916,23.5582552833961,7.379970647976734,10.780445830430835
T043,43,ruiojiang 43,113.663812499381,23.5582264381494,14.203571361256763,7.7104754177853465
T044,44,ruiojiang 44,113.664108652615,23.5582793196684,44.34100256115198,14.131682009901851
T045,45,ruiojiang 45,113.663848450851,23.5581562261935,18.019979282165878,0.0
T046,46,ruiojiang 46,113.663947410609,23.5582352314629,27.964056183816865,8.940912039019167
T047,47,ruiojiang 47,113.664182334456,23.5583242226426,51.773668971378356,19.246419382747263
T048,48,ruiojiang 48,113.663996869368,23.5582264126367,33.03349232370965,8.057815075386316
T049,49,ruiojiang 49,113.663787299129,23.558178343261,11.728932077530771,2.334202165249735
T050,50,ruiojiang 50,113.66371196234,23.5582189011488,3.951163235702552,6.684518630616367
T051,51,ruiojiang 51,113.663814246095,23.5582819812566,14.267534277634695,13.867391413543373
T052,52,ruiojiang 52,113.663702881576,23.5584714022719,2.5035512796603143,34.641770240385085
T053,53,ruiojiang 53,113.664060030175,23.5583612592858,39.20632268674672,23.117387805134058
T054,54,ruiojiang 54,113.664137670278,23.5583392457702,47.18112538382411,20.82598876999691
T055,55,ruiojiang 55,113.66401483151,23.5584952224263,34.31413272069767,37.873263919726014
T056,56,ruiojiang 56,113.664239192185,23.5583967745222,57.43109863786958,27.392415404785424
T057,57,ruiojiang 57,113.664219204271,23.5584289661971,55.3233855626313,30.920952005311847
