Algorithm,Primary Cost Mean,Primary Cost Std,Total Cost Mean,Total Cost Std,Total Distance / m Mean,Total Distance / m Std,Theoretical Coverage / % Mean,Theoretical Coverage / % Std,Effective Coverage / % Mean,Effective Coverage / % Std,Obstacle Penalty Mean,Obstacle Penalty Std,Energy Range / % Mean,Energy Range / % Std,Runtime / s Mean,Runtime / s Std
F-LCA,1413.760507,72.880717,2466.330846,328.638515,1334.179003,59.112646,100.0,0.0,100.0,0.0,418.85002,192.697565,14.265252,3.311312,86.424694,1.227804
SISR-VRP,1535.192509,91.287762,1818.105145,416.366186,1487.431399,91.213465,100.0,0.0,100.0,0.0,251.374264,124.755193,3.486782,4.134501,21.173382,4.421022
ACO,2024.10661,177.676449,4137.782597,492.35198,1754.354671,96.472802,100.0,0.0,100.0,0.0,1419.747047,543.764729,20.177301,6.045847,433.476997,130.69602
GA,3771.389479,250.835785,4064.028108,267.239807,3330.727935,194.296801,100.0,0.0,100.0,0.0,2319.271286,492.894843,0.65059,0.170616,62.527119,30.934862
PSO,6624.410859,396.820821,7115.075941,424.578713,5185.516917,254.456814,100.0,0.0,100.0,0.0,7573.126011,1026.674961,0.625916,0.369438,75.751829,43.859488
