Algorithm,Primary Cost,Total Cost,Total Distance / m,Theoretical Coverage / %,Effective Coverage / %,Obstacle Penalty,Energy Range / %,Runtime / s
F-LCA,1413.76 ± 72.88,2466.33 ± 328.64,1334.18 ± 59.11,100.00 ± 0.00,100.00 ± 0.00,418.85 ± 192.70,14.27 ± 3.31,86.42 ± 1.23
SISR-VRP,1535.19 ± 91.29,1818.11 ± 416.37,1487.43 ± 91.21,100.00 ± 0.00,100.00 ± 0.00,251.37 ± 124.76,3.49 ± 4.13,21.17 ± 4.42
ACO,2024.11 ± 177.68,4137.78 ± 492.35,1754.35 ± 96.47,100.00 ± 0.00,100.00 ± 0.00,1419.75 ± 543.76,20.18 ± 6.05,433.48 ± 130.70
GA,3771.39 ± 250.84,4064.03 ± 267.24,3330.73 ± 194.30,100.00 ± 0.00,100.00 ± 0.00,2319.27 ± 492.89,0.65 ± 0.17,62.53 ± 30.93
PSO,6624.41 ± 396.82,7115.08 ± 424.58,5185.52 ± 254.46,100.00 ± 0.00,100.00 ± 0.00,7573.13 ± 1026.67,0.63 ± 0.37,75.75 ± 43.86
