seed,algorithm,primary_cost,total_cost,total_distance,effective_coverage,theoretical_coverage,obstacle_penalty,energy_range_percent,incomplete_tree_ratio,runtime_sec,task_ratio_v1,task_ratio_v2,task_ratio_v3,task_ratio_v4,layered_refine_trigger_count,layered_refine_success_count
42,F-LCA-no-hetero,1610.0252089874436,3056.0888270742753,1459.6311611661695,100.0,100.0,791.5476201119698,17.771569361501953,0.0,71.4189121723175,0.0,0.0,0.0,0.0,0,0
43,F-LCA-no-hetero,1625.0936748997883,2724.2501471272312,1521.9076876632967,100.0,100.0,543.0841433499567,13.17520756172528,0.0,71.25252199172974,0.0,0.0,0.0,0.0,0,0
44,F-LCA-no-hetero,1463.0623070399838,2151.2095095151954,1378.4723702617705,100.0,100.0,445.2101935695434,9.39174826210374,0.0,74.24558186531067,0.0,0.0,0.0,0.0,0,0
45,F-LCA-no-hetero,1435.9304116530209,2472.063981197237,1350.651808862631,100.0,100.0,448.83475152836814,13.638212670553246,0.0,74.17621421813965,0.0,0.0,0.0,0.0,0,0
46,F-LCA-no-hetero,1533.817348880819,2741.41306444047,1425.9721958838418,100.0,100.0,567.6060684051431,15.524535319077662,0.0,72.09582209587097,0.0,0.0,0.0,0.0,0,0
47,F-LCA-no-hetero,1476.4676139367566,2596.3769676839884,1428.5042932106448,100.0,100.0,252.4385301374298,14.47677702162905,0.0,70.18030643463135,0.0,0.0,0.0,0.0,0,0
48,F-LCA-no-hetero,1547.3760149385419,2849.3993333439275,1460.7613913864334,100.0,100.0,455.86643974793986,15.602793653209353,0.0,76.19738578796387,0.0,0.0,0.0,0.0,0,0
49,F-LCA-no-hetero,1598.566050634225,3013.5906312148277,1464.9960988694024,100.0,100.0,702.9997461306441,16.408487196651077,0.0,74.88707971572876,0.0,0.0,0.0,0.0,0,0
50,F-LCA-no-hetero,1382.5833317948043,2043.8676028887216,1337.565973800326,100.0,100.0,236.9334631288334,9.327242666019709,0.0,72.77236008644104,0.0,0.0,0.0,0.0,0,0
51,F-LCA-no-hetero,1720.929644405049,3087.4591933378397,1513.5067699557599,100.0,100.0,1091.6993392067843,15.781396812673865,0.0,72.09513068199158,0.0,0.0,0.0,0.0,0,0
52,F-LCA-no-hetero,1543.9499078784338,1914.9594121554967,1461.7912798503878,100.0,100.0,432.4138317265573,4.880639103830794,0.0,72.45084381103516,0.0,0.0,0.0,0.0,0,0
53,F-LCA-no-hetero,1439.2036997813461,1828.1449753636794,1358.6014301954824,100.0,100.0,424.22247150454643,5.561789905296983,0.0,75.00429964065552,0.0,0.0,0.0,0.0,0,0
54,F-LCA-no-hetero,1420.5384236321986,2526.0919129284457,1315.6945492648583,100.0,100.0,551.8098650912642,15.299100370503977,0.0,74.52703189849854,0.0,0.0,0.0,0.0,0,0
55,F-LCA-no-hetero,1553.3849895640496,2679.9788296847482,1471.7300345434553,100.0,100.0,429.7629211610234,13.704419241775328,0.0,72.97017335891724,0.0,0.0,0.0,0.0,0,0
56,F-LCA-no-hetero,1615.5205990293975,2413.4088942249646,1460.5114510543958,100.0,100.0,815.8376209210621,10.054949395487235,0.0,73.0441243648529,0.0,0.0,0.0,0.0,0,0
57,F-LCA-no-hetero,1562.0713316977444,2448.3662316394184,1413.4338630728403,100.0,100.0,782.3024664468637,11.914022148270119,0.0,71.55186104774475,0.0,0.0,0.0,0.0,0,0
58,F-LCA-no-hetero,1479.0973847710354,2751.755902705914,1392.5400886968637,100.0,100.0,455.56471617985085,16.216120651342386,0.0,73.19632411003113,0.0,0.0,0.0,0.0,0,0
59,F-LCA-no-hetero,1643.9702577036724,3116.4672326337463,1472.8375298636092,100.0,100.0,900.6985675792795,17.39284537526248,0.0,74.0589051246643,0.0,0.0,0.0,0.0,0,0
60,F-LCA-no-hetero,1555.3964624791354,2053.6389533223683,1426.693420766611,100.0,100.0,677.3844300659174,6.664486784061431,0.0,73.38500928878784,0.0,0.0,0.0,0.0,0,0
61,F-LCA-no-hetero,1556.4418451035594,2461.843982436405,1452.7157613510085,100.0,100.0,545.9267565923733,11.400663037835281,0.0,72.33181643486023,0.0,0.0,0.0,0.0,0,0
